en_name,cn_name
Develo - Starter Kit - Assembler-hen (Japan),Develo 初学者 汇编篇 （日版）
Develo - Starter Kit - BASIC-hen (Japan),Develo 初学者 BASIC篇 （日版）
Develo Magazine Vol. 1 (Japan),Develo 杂志 vol.1 （日版）
Doraemon - Nobita no Dorabian Night (Japan),哆啦A梦 大雄的天方夜谭 （日版）
Double Dragon II - The Revenge (Japan),双截龙2 复仇 （日版）
Doukyuusei (Japan) (Rev 3),同级生 （日版） （修正版 3）
Doukyuusei (Japan) (Rev 3) (Alt 1),同级生 （日版） （修正版 3） (Alt 1)
Doukyuusei (Japan) (Rev 3) (Alt 2),同级生 （日版） （修正版 3） (Alt 2)
Doukyuusei (Japan) (Rev 4),同级生 （日版） （修正版 4）
Down Load 2 (Japan),下载2 （日版）
Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan),热血进行曲 （日版）
Downtown Nekketsu Monogatari (Japan),热血物语 （日版）
Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan) (FABT),龙珠Z 伟大的悟空传说 （日版） (FABT)
Dragon Half (Japan),半龍少女 （日版）
Dragon Knight & Graffiti (Japan),龙骑士 （日版）
Dragon Knight II (Japan),龙骑士2 （日版）
Dragon Knight III (Japan),龙骑士3 （日版）
Dragon Slayer - The Legend of Heroes (Japan),英雄传说 （日版）
Dragon Slayer - The Legend of Heroes (USA),英雄传说 （美版）
Dragon Slayer - The Legend of Heroes II (Japan),英雄传说2 （日版）
Dungeon Explorer II (Japan),地牢探索2 （日版）
Dungeon Explorer II (USA),地牢探索2 （美版）
Dungeon Master - Theron's Quest (Japan),地牢大师-塞隆之旅 （日版）
Dungeon Master - Theron's Quest (USA),地牢大师-塞隆之旅 （美版）
Duo Comic - Bakuretsu Hunter (Japan),暴走猎人 （日版）
"Dynastic Hero, The (USA)",超英雄伝説 王朝的英雄 （美版）
Efera & Jiliora - The Emblem from Darkness (Japan),暗黑戰記 （日版）
Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan),光荣归于你～高中棒球全国大会 （日版）
Eiyuu Sangokushi (Japan),英雄三国志 （日版）
Emerald Dragon (Japan),翡翠龙 （日版）
Emerald Dragon (Japan) (Demo),翡翠龙 （日版） （演示版）
Emerald Dragon (Japan) (Rev 1),翡翠龙 （日版） （修正版 1）
Exile (USA),流放 （美版）
Exile - Toki no Hasama e (Japan),流放 时之狭间 （日版）
Exile - Wicked Phenomenon (USA),流放 邪念的事象 （美版）
Exile II - Janen no Jishou (Japan),流放2 邪念的事象 （日版）
"F1 Circus Special - Pole to Win (Japan) (FAAT, FACT)","F1竞技场特别版 （日版） (FAAT, FACT)"
F1 Circus Special - Pole to Win (Japan) (FABT),F1竞技场特别版 （日版） (FABT)
F1 Team Simulation - Project F (Japan),F1车队模拟 （日版）
Faceball (Japan),脸球 （日版）
Faceball (Japan) (Demo),脸球 （日版） （演示版）
Faerie Dust Story - Meikyuu no Elfeene (Japan),迷宫的精灵 （日版）
"Fantastic Night Dreams - Cotton (Japan) (En,Ja)","棉花小魔女 （日版） (En,Ja)"
