en_name,cn_name
Gripshift,爆冲赛车
Winning Eleven 9 - Ubiquitous Evolution,实况足球9
Hg Hydrium,水银
World Series of Poker,世界扑克大赛
Princess Crown,公主皇冠
Formula 1 - 05 Portable,F1格兰披治大赛2005
Gundam Battle Tactics,高达 策略战
Frantix - A Puzzle Adventure,弗兰提西历险记
Madden NFL 06,劲爆美式橄榄球2006
Space Invaders - Galaxy Beat,太空侵略者-银河节拍
Burnout Legends,火爆狂飙 传奇
MVP Baseball,MVP棒球
Guilty Gear XX #Reload,罪恶装备XX 重制版
Densha de Go! Pocket - Yamatesen Hen,电车GO! 口袋版-山手线篇
Gallery Fake,王牌鉴定人
Tiger Woods PGA Tour 06,泰格伍兹高尔夫球巡回赛2006
Pinball,弹珠台
Tenchi no Mon,天地之门
Frogger - Helmet Chaos,青蛙过河
MediEvil Resurrection,骷髅骑士-复苏
Namco Museum Battle Collection,南梦宫博物馆2
Marvel Nemesis - Rise of the Imperfects,漫画英雄复仇女神-未完成的崛起
NBA Live 06,NBA实况06
NBA 06,美国职业篮球联赛06
Tiger Woods PGA Tour 06,泰格伍兹高尔夫球巡回赛2006
San Goku Shi VI,三国志6
NBA Street Showdown,NBA街头篮球
Virtua Tennis - World Tour,VR网球
ToCA Race Driver 2,超级房车赛2
SSX - On Tour,极限滑雪
FIFA 06 - Soccer,FIFA足球2006
Gretzky NHL 06,美国职业冰球联盟06
Piposaru Get You P!,捉猴啦P!
FIFA 06,FIFA足球2006
Marvel Nemesis - Rise of the Imperfects,漫画英雄复仇女神-未完成的崛起
Tenchi no Mon,天地之门
"Con, The",非法地带
X-Men Legends II - Rise of Apocalypse,X战警传奇2-天启降临
Touhokudai Gaku Mirai Kagakugijutsu Kyoudoukenkyuu Center,脑力训练者 携带版
Burnout Legends,火爆狂飙 传奇
FIFA 06,FIFA足球2006
FIFA 06,FIFA足球2006
Shinki Gensou - SSII Unlimited Side,新纪幻想-圣魔战记2
Grand Theft Auto - Liberty City Stories,侠盗猎车-自由城的故事
FIFA 06,FIFA足球2006
Ghost in the Shell - Stand Alone Complex,攻壳机动队-猎人的领域
Pursuit Force,强力追击
Kao Challengers,百战小袋鼠-卡欧
"Hustle - Detroit Streets, The",肆无忌惮-底特律大街
Tony Hawk's Underground 2 - Remix,托尼霍克地下滑板2-复刻版
SSX - On Tour,极限滑雪
NBA Live 06,NBA实况06
Ghost in the Shell - Stand Alone Complex,攻壳机动队-猎人的领域
NBA Live 06,NBA实况06
Twisted Metal - Head-On,扭曲金属赛车-勇往直前
Star Wars - Battlefront II,星球大战-前线2
Kidou Keisatsu Patlabor - Kamubakku MiniPato,机动警察-迷你版
Star Wars - Battlefront II,星球大战-前线2
Grand Theft Auto - Liberty City Stories,侠盗猎车-自由城的故事
SOCOM - U.S. Navy SEALs - Fireteam Bravo,海豹突击队-火线小组
"Lord of the Rings - Tactics, The",指环王-战略版
La Corda d'Oro,金色的琴弦
Fukufuku no Shima,福福之岛
Gripshift,爆冲赛车
Need for Speed - Most Wanted 5-1-0,极品飞车-最高通缉
"Legend of Heroes - A Tear of Vermillion, The",英雄传说-朱红之泪
Kingdom of Paradise,天地之门
Infected,感染
Harry Potter and the Goblet of Fire,哈利波特与火焰杯
Harry Potter et la Coupe de Feu,哈利波特与火焰杯
Virtua Tennis - World Tour,VR网球
WRC - FIA World Rally Championship,世界拉力锦标赛
Crash Tag Team Racing,古惑狼赛车 团队竞速
Harry Potter and the Goblet of Fire,哈利波特与火焰杯
Pro Evolution Soccer 5,实况足球5
Need for Speed - Most Wanted 5-1-0,极品飞车-最高通缉
Yarudora Portable - Yukiwari no Hana,互动剧场-雪割花
Yarudora Portable - Kisetsu wo Dakishimete,互动剧场-季节拥抱
Yarudora Portable - Double Cast,互动剧场-双重角色
Harry Potter unt der Feuerkelch,哈利波特与火焰杯
Vulcanus - Seek & Destroy,重装战将
Crash Tag Team Racing,古惑狼赛车 团队竞速
Harry Potter and the Goblet of Fire,哈利波特与火焰杯
X-Men Legends II - Rise of Apocalypse,X战警传奇2-天启降临
Monster Hunter Portable,怪物猎人 携带版
TalkMan (Microphone Doukonban),翻译精灵(麦克风同捆版)
Burnout Legends,火爆狂飙 传奇
Bokujou Monogatari - Harvest Moon Boy & Girl,牧场物语-中秋满月 男生&女生版
TalkMan (v2),翻译精灵(v2)
Armored Core - Formula Front International,装甲核心-方程式前线 国际版
"Lord of the Rings - Tactics, The",指环王-战略版
PoPoLoCrois,波波罗古罗伊斯物语-陂耶多罗王子的冒险
Geki - Sengoku Mesou,战国无双
Metal Gear Ac!d 2,合金装备
Go! Sudoku,Go!数独
Frantix,弗兰提西历险记
Tokobot,遗迹大冒险
Pac-Man World 3,吃豆人世界3
Prince of Persia - Revelations,波斯王子-武者之心
"Sims 2, The",模拟人生2
SSX - On Tour,极限滑雪
Championship Manager,冠军足球经理
