en_name,cn_name
Chocobo No Fushigina Dungeon (J) (A RPG) (Square),陆行鸟不可思议迷宫
Chocobo No Fushigina Dungeon 2 (J) (A RPG) (Square),陆行鸟不可思议迷宫 2
Chocobo Racing (U) (RAC) (Square),路行鸟赛车
Choro Q Wonderful! (J) (RAC) (Takara),Q 版赛车 4
Chrono Cross (J) (RPG) (Square),穿越时空
Chrono Cross (U) (RPG) (Square),穿越时空 A
Chrono Cross (U) (RPG) (Square),穿越时空 B
Chrono Trigger (J) (RPG) (Square),时空之轮
Civilization (J) (SLG) (Microprose),文明
Civizard Majutsu No Keifu (J) (SLG) (Asmik Ace) Civizard,魔术的系谱
Clock Tower 2 (J) (AVG) (Human),钟楼 2
Clock Tower Ghost Head (J) (AVG) (Human),钟楼 - 幽灵之首
Clock Tower The First Fear (J) (AVG) (Human),钟楼 - 首度恐惧
Clock Tower The First Fear Simple Chinese Patch (CHS) (AVG) (Human),钟楼 - 首度恐惧 简体中文汉化补丁
Combat Choro Q (J) (STG) (Takara),Q 版坦克
Countdown Vampires (J) (AVG) (Bandai),世纪末吸血鬼 B
Countdown Vampires (J) (AVG) (Bandai),世纪末吸血鬼 A
Cowboy Bebop (J) (STG) (Bandai),星际牛仔
Crash Bandicoot Carnival (J) (ACT) (SCEI),蛊惑狼 - 嘉年华
Crash Team Racing (U) (RAC) (SCEA),蛊惑狼赛车
Culdcept Expansion Plus (J) (CAG) (Media Factory),卡片召唤师加强版
Daikoukai Jidai Gaiden (J) (SLG) (Koei),大航海时代外传
Daikoukai Jidai II (J) (SLG) (Koei),大航海时代 II
Daikoukai Jidai IV (J) (SLG) (Koei),大航海时代 IV
Dance Dance Revolution 1st Mix (J) (MUG) (Konami),劲舞革命
Dance Dance Revolution 2nd Remix (J) (MUG) (Konami,) 劲舞革命 2
Dance Dance Revolution 3rd Mix (J) (MUG) (Konami),劲舞革命 3
Dance Dance Revolution 4th Mix (J) (MUG) (Konami),劲舞革命 4
Dance Dance Revolution 5th Mix (J) (MUG) (Konami),劲舞革命 5
Dance Dance Revolution Best Hits (J) (MUG) (Konami),劲舞革命 - 最佳精选
Dance Dance Revolution Disney Mix (U) (MUG) (Konami),劲舞革命 - 迪斯尼
Dance Dance Revolution Euromix (E) (MUG) (Konami),劲舞革命 - 欧洲
Dance Dance Revolution Extra Mix (J) (MUG) (Konami),劲舞革命 - 特别版
Dance Dance Revolution Konamix (U) (MUG) (Konami),劲舞革命 - 科乐美
Dance Dance Revolution Oha Star (J) (MUG) (Konami),劲舞革命 - Oha Star
Dead Or Alive (J) (FTG) (Tecmo),死或生
