en_name,cn_name
Dragon's Crown,龙之皇冠 [英文版]
Metal Gear Solid HD Collection,合金装备高清合集 [英文版]
Ninja Gaiden Sigma Plus,忍者龙剑传 Σ+ [英文版]
Disgaea 3: Absence of Detention,魔界战记 3 [英文版]
Mortal Kombat,真人快打 [英文版]
Ben 10: Galactic Racing,Ben 10：银河赛车 [英文版]
The Treasures of Montezuma Blitz,蒙特祖马的宝藏：闪电版 [英文版]
StarDrone Extreme,炫彩迷幻 [英文版]
Guacamelee!,墨西哥英雄大乱斗 [英文版]
Tales from Space: Mutant Blobs Attack!!!,外星粒子觅食传说 [英文版]
Wanted Corp. (3.61+!) [3.61],通缉兵团 [需3.61及以上系统版本 | 英文版]
Velocity Ultra,极速冒险 超绝 [英文版]
Foosball 2012,桌式足球 2012 [英文版]
Indoor Sports World,室内活动世界 [英文版]
Puddle,水之道 [英文版]
Oddworld: Stranger's Wrath HD,奇异世界：怪客的愤怒 高清版 [英文版]
Chronovolt,滚球游戏 [英文版]
SunFlowers,太阳与花朵 [英文版]
CastleStorm,城堡风暴 [英文版]
Zen Pinball 2,ZEN弹珠台 2 [英文版]
Urban Trial Freestyle,城市自由狂飙 [英文版]
Rayman Origins,雷曼：起源 [英文版]
Assassin's Creed III: Liberation,刺客信条 3：解放 [英文版]
Sonic & All-Stars Racing Transformed,索尼克与世嘉全明星赛车：变形 [英文版]
Lego Harry Potter: Years 5-7,乐高哈利波特：5-7年 [英文版]
Lego Batman 2: DC Super Heroes,乐高蝙蝠侠 2：DC超级英雄 [英文版]
Sumioni: Demon Arts,墨鬼 [英文版]
Plants vs Zombies,植物大战僵尸 [英文版]
Pinball Arcade,街机弹珠台 [英文版]
New Little King's Story,国王、魔王与7位公主：新•国王物语 [英文版]
Lego The Lord of The Rings,乐高指环王 [英文版]
Spy Hunter,间谍猎手 [英文版]
Netflix,Netflix [英文版]
NicoNico,NicoNico (应用软件) [英文版]
Retro City Rampage,荒野老城 [英文版]
Metal Gear Solid 2: Sons of Liberty - HD Edition,合金装备 2：自由之子 高清版 [英文版]
Metal Gear Solid 3: Snake Eater - HD Edition,合金装备 3：食蛇者 高清版 [英文版]
Madden NFL 13,美式橄榄球 13 [英文版]
Zero Escape: Virtue's Last Reward,极限脱出：善人死亡 [英文版]
Pure Chess,纯粹国际象棋 [英文版]
Lego Batman 2: DC Super Heroes (FRA),乐高蝙蝠侠 2：DC超级英雄 [小语种版]
Jet Set Radio,街头涂鸦 [英文版]
Need for Speed: Most Wanted,极品飞车：最高通缉 [英文版]
Sine Mora,不再犹豫 [英文版]
Big Sky Infinity,广阔天空：无限 [英文版]
